,Fast,Medium,Slow,accuracy,macro avg,weighted avg
precision,0.9484978540772532,1.0,0.7115384615384616,0.9055944055944056,0.8866787718719049,0.9080799936280292
recall,0.9364406779661016,1.0,0.7551020408163265,0.9055944055944056,0.8971809062608095,0.9055944055944056
f1-score,0.9424307036247335,1.0,0.7326732673267327,0.9055944055944056,0.8917013236504886,0.9066945320085559
support,236.0,1.0,49.0,0.9055944055944056,286.0,286.0
