,Fast,Medium,Slow,accuracy,macro avg,weighted avg
precision,0.9519650655021834,0.5,0.6727272727272727,0.8951048951048951,0.7082307794098187,0.9025433280494813
recall,0.923728813559322,1.0,0.7551020408163265,0.8951048951048951,0.8929436181252162,0.8951048951048951
f1-score,0.9376344086021505,0.6666666666666666,0.7115384615384616,0.8951048951048951,0.7719465122690928,0.8979502507418139
support,236.0,1.0,49.0,0.8951048951048951,286.0,286.0
