antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({'vendor=Apple'}),"frozenset({'ransomware=False', 'product=Multiple Products'})",0.05886475122634898,0.046250875963559916,0.03153468815697267,0.5357142857142857,11.582792207792208,1.0,0.028812141849376992,2.054228882540025,0.9708116157855546,0.4285714285714286,0.5131993282250445,0.6087662337662337
frozenset({'product=Multiple Products'}),"frozenset({'ransomware=False', 'vendor=Apple'})",0.046250875963559916,0.05886475122634898,0.03153468815697267,0.6818181818181818,11.582792207792208,1.0,0.028812141849376992,2.957853639002903,0.9579720793534167,0.4285714285714286,0.6619170107628782,0.6087662337662337
"frozenset({'ransomware=False', 'vendor=Apple'})",frozenset({'product=Multiple Products'}),0.05886475122634898,0.046250875963559916,0.03153468815697267,0.5357142857142857,11.582792207792208,1.0,0.028812141849376992,2.054228882540025,0.9708116157855546,0.4285714285714286,0.5131993282250445,0.6087662337662337
"frozenset({'ransomware=False', 'product=Multiple Products'})",frozenset({'vendor=Apple'}),0.046250875963559916,0.05886475122634898,0.03153468815697267,0.6818181818181818,11.582792207792208,1.0,0.028812141849376992,2.957853639002903,0.9579720793534167,0.4285714285714286,0.6619170107628782,0.6087662337662337
"frozenset({'vendor=Microsoft', 'year=2024-2025'})","frozenset({'ransomware=False', 'product=Windows'})",0.049754730203223546,0.1079187105816398,0.03433777154870357,0.6901408450704225,6.395006402048655,1.0,0.028968305219834317,2.878989615850162,0.8878002528445005,0.2784090909090909,0.6526559198079285,0.5041613316261203
"frozenset({'ransomware=False', 'vendor=Microsoft', 'year=2024-2025'})",frozenset({'product=Windows'}),0.049754730203223546,0.1079187105816398,0.03433777154870357,0.6901408450704225,6.395006402048655,1.0,0.028968305219834317,2.878989615850162,0.8878002528445005,0.2784090909090909,0.6526559198079285,0.5041613316261203
frozenset({'product=Windows'}),"frozenset({'vendor=Microsoft', 'year=2024-2025'})",0.1079187105816398,0.049754730203223546,0.03433777154870357,0.3181818181818182,6.395006402048655,1.0,0.028968305219834317,1.3936930623686055,0.9456851082931209,0.2784090909090909,0.2824818986323411,0.5041613316261203
"frozenset({'vendor=Microsoft', 'year=2024-2025'})",frozenset({'product=Windows'}),0.049754730203223546,0.1079187105816398,0.03433777154870357,0.6901408450704225,6.395006402048655,1.0,0.028968305219834317,2.878989615850162,0.8878002528445005,0.2784090909090909,0.6526559198079285,0.5041613316261203
frozenset({'product=Windows'}),"frozenset({'ransomware=False', 'vendor=Microsoft', 'year=2024-2025'})",0.1079187105816398,0.049754730203223546,0.03433777154870357,0.3181818181818182,6.395006402048655,1.0,0.028968305219834317,1.3936930623686055,0.9456851082931209,0.2784090909090909,0.2824818986323411,0.5041613316261203
"frozenset({'ransomware=False', 'product=Windows'})","frozenset({'vendor=Microsoft', 'year=2024-2025'})",0.1079187105816398,0.049754730203223546,0.03433777154870357,0.3181818181818182,6.395006402048655,1.0,0.028968305219834317,1.3936930623686055,0.9456851082931209,0.2784090909090909,0.2824818986323411,0.5041613316261203
"frozenset({'ransomware=False', 'product=Internet Explorer'})","frozenset({'vendor=Microsoft', 'year=<=2022'})",0.023826208829712685,0.16818500350385424,0.02102312543798178,0.8823529411764706,5.2463235294117645,1.0,0.017015914422472987,7.070427470217237,0.8291457286432159,0.12295081967213115,0.8585658357698597,0.5036764705882353
"frozenset({'vendor=Microsoft', 'year=<=2022'})",frozenset({'product=Internet Explorer'}),0.16818500350385424,0.023826208829712685,0.02102312543798178,0.125,5.2463235294117645,1.0,0.017015914422472987,1.1156271899088999,0.9730412805391743,0.12295081967213115,0.103643216080402,0.5036764705882353
frozenset({'product=Internet Explorer'}),"frozenset({'vendor=Microsoft', 'year=<=2022'})",0.023826208829712685,0.16818500350385424,0.02102312543798178,0.8823529411764706,5.2463235294117645,1.0,0.017015914422472987,7.070427470217237,0.8291457286432159,0.12295081967213115,0.8585658357698597,0.5036764705882353
"frozenset({'vendor=Microsoft', 'year=<=2022'})","frozenset({'ransomware=False', 'product=Internet Explorer'})",0.16818500350385424,0.023826208829712685,0.02102312543798178,0.125,5.2463235294117645,1.0,0.017015914422472987,1.1156271899088999,0.9730412805391743,0.12295081967213115,0.103643216080402,0.5036764705882353
"frozenset({'ransomware=False', 'vendor=Microsoft', 'year=<=2022'})",frozenset({'product=Internet Explorer'}),0.16818500350385424,0.023826208829712685,0.02102312543798178,0.125,5.2463235294117645,1.0,0.017015914422472987,1.1156271899088999,0.9730412805391743,0.12295081967213115,0.103643216080402,0.5036764705882353
frozenset({'product=Internet Explorer'}),"frozenset({'ransomware=False', 'vendor=Microsoft', 'year=<=2022'})",0.023826208829712685,0.16818500350385424,0.02102312543798178,0.8823529411764706,5.2463235294117645,1.0,0.017015914422472987,7.070427470217237,0.8291457286432159,0.12295081967213115,0.8585658357698597,0.5036764705882353
"frozenset({'year=<=2022', 'product=Windows'})","frozenset({'vendor=Microsoft', 'month=Q4'})",0.06377014716187807,0.07217939733707078,0.02102312543798178,0.32967032967032966,4.567374373199615,1.0,0.016420234647741106,1.3841258170873205,0.8342564870259482,0.18292682926829265,0.2775223266159822,0.3104662327963299
"frozenset({'year=<=2022', 'product=Windows'})","frozenset({'ransomware=False', 'vendor=Microsoft', 'month=Q4'})",0.06377014716187807,0.07217939733707078,0.02102312543798178,0.32967032967032966,4.567374373199615,1.0,0.016420234647741106,1.3841258170873205,0.8342564870259482,0.18292682926829265,0.2775223266159822,0.3104662327963299
"frozenset({'vendor=Microsoft', 'month=Q4'})","frozenset({'year=<=2022', 'product=Windows'})",0.07217939733707078,0.06377014716187807,0.02102312543798178,0.2912621359223301,4.567374373199615,1.0,0.016420234647741106,1.3209818471551582,0.8418177240684793,0.18292682926829265,0.2429873263182373,0.3104662327963299
"frozenset({'vendor=Microsoft', 'month=Q4'})","frozenset({'ransomware=False', 'year=<=2022', 'product=Windows'})",0.07217939733707078,0.06377014716187807,0.02102312543798178,0.2912621359223301,4.567374373199615,1.0,0.016420234647741106,1.3209818471551582,0.8418177240684793,0.18292682926829265,0.2429873263182373,0.3104662327963299
"frozenset({'ransomware=False', 'year=<=2022', 'product=Windows'})","frozenset({'vendor=Microsoft', 'month=Q4'})",0.06377014716187807,0.07217939733707078,0.02102312543798178,0.32967032967032966,4.567374373199615,1.0,0.016420234647741106,1.3841258170873205,0.8342564870259482,0.18292682926829265,0.2775223266159822,0.3104662327963299
"frozenset({'ransomware=False', 'vendor=Microsoft', 'month=Q4'})","frozenset({'year=<=2022', 'product=Windows'})",0.07217939733707078,0.06377014716187807,0.02102312543798178,0.2912621359223301,4.567374373199615,1.0,0.016420234647741106,1.3209818471551582,0.8418177240684793,0.18292682926829265,0.2429873263182373,0.3104662327963299
"frozenset({'year=<=2022', 'product=Windows'})","frozenset({'ransomware=False', 'vendor=Microsoft', 'month=Q1'})",0.06377014716187807,0.0861948142957253,0.023826208829712685,0.37362637362637363,4.334673456624676,1.0,0.018329552837483533,1.4588819631419123,0.8217021838675591,0.1888888888888889,0.31454358524910675,0.32502456892700793
"frozenset({'vendor=Microsoft', 'month=Q1'})","frozenset({'year=<=2022', 'product=Windows'})",0.0861948142957253,0.06377014716187807,0.023826208829712685,0.2764227642276423,4.334673456624676,1.0,0.018329552837483533,1.293890695495382,0.8418666546373151,0.1888888888888889,0.22713718903656105,0.32502456892700793
"frozenset({'year=<=2022', 'product=Windows'})","frozenset({'vendor=Microsoft', 'month=Q1'})",0.06377014716187807,0.0861948142957253,0.023826208829712685,0.37362637362637363,4.334673456624676,1.0,0.018329552837483533,1.4588819631419123,0.8217021838675591,0.1888888888888889,0.31454358524910675,0.32502456892700793
"frozenset({'vendor=Microsoft', 'month=Q1'})","frozenset({'ransomware=False', 'year=<=2022', 'product=Windows'})",0.0861948142957253,0.06377014716187807,0.023826208829712685,0.2764227642276423,4.334673456624676,1.0,0.018329552837483533,1.293890695495382,0.8418666546373151,0.1888888888888889,0.22713718903656105,0.32502456892700793
